[  260.415673]  + module is loaded.
[  260.415676] +pid=    0, comm=      swapper/0, ppid=    0, parentcomm=      swapper/0, on_cpu=    1, policy=0, prio=  120, static_prio=  120, normal_prio=  120, rt_priority=    0, state=    0 (R), exit_state=0, exit_code=0, exit_signal=    0, utime=         0, stime=3120000000 flags: [IDLE KTHREAD NO_SETAFFINITY ]
[  260.415692] +pid=    1, comm=      mini_init, ppid=    0, parentcomm=      swapper/0, on_cpu=    0, policy=0, prio=  120, static_prio=  120, normal_prio=  120, rt_priority=    0, state=    1 (S), exit_state=0, exit_code=0, exit_signal=   17, utime=         0, stime= 370000000 flags: [SUPERPRIV RANDOMIZE ]
[  260.415704] +pid=    2, comm=       kthreadd, ppid=    0, parentcomm=      swapper/0, on_cpu=    0, policy=0, prio=  120, static_prio=  120, normal_prio=  120, rt_priority=    0, state=    1 (S), exit_state=0, exit_code=0, exit_signal=    0, utime=         0, stime=         0 flags: [FORKNOEXEC NOFREEZE KTHREAD ]
[  260.415716] +pid=    3, comm=         rcu_gp, ppid=    2, parentcomm=       kthreadd, on_cpu=    0, policy=0, prio=  100, static_prio=  100, normal_prio=  100, rt_priority=    0, state= 1026 (I), exit_state=0, exit_code=0, exit_signal=   17, utime=         0, stime=         0 flags: [WQ_WORKER FORKNOEXEC NOFREEZE KTHREAD NO_SETAFFINITY ]
[  260.415730] +pid=    4, comm=     rcu_par_gp, ppid=    2, parentcomm=       kthreadd, on_cpu=    0, policy=0, prio=  100, static_prio=  100, normal_prio=  100, rt_priority=    0, state= 1026 (I), exit_state=0, exit_code=0, exit_signal=   17, utime=         0, stime=         0 flags: [WQ_WORKER FORKNOEXEC NOFREEZE KTHREAD NO_SETAFFINITY ]
[  260.415743] +pid=    5, comm=   slub_flushwq, ppid=    2, parentcomm=       kthreadd, on_cpu=    0, policy=0, prio=  100, static_prio=  100, normal_prio=  100, rt_priority=    0, state= 1026 (I), exit_state=0, exit_code=0, exit_signal=   17, utime=         0, stime=         0 flags: [WQ_WORKER FORKNOEXEC NOFREEZE KTHREAD NO_SETAFFINITY ]
[  260.415755] +pid=    6, comm=          netns, ppid=    2, parentcomm=       kthreadd, on_cpu=    0, policy=0, prio=  100, static_prio=  100, normal_prio=  100, rt_priority=    0, state= 1026 (I), exit_state=0, exit_code=0, exit_signal=   17, utime=         0, stime=         0 flags: [WQ_WORKER FORKNOEXEC NOFREEZE KTHREAD NO_SETAFFINITY ]
[  260.415769] +pid=    7, comm=    kworker/0:0, ppid=    2, parentcomm=       kthreadd, on_cpu=    0, policy=0, prio=  120, static_prio=  120, normal_prio=  120, rt_priority=    0, state= 1026 (I), exit_state=0, exit_code=0, exit_signal=   17, utime=         0, stime=         0 flags: [WQ_WORKER FORKNOEXEC NOFREEZE KTHREAD NO_SETAFFINITY ]
[  260.415842] +pid=    8, comm=   kworker/0:0H, ppid=    2, parentcomm=       kthreadd, on_cpu=    0, policy=0, prio=  100, static_prio=  100, normal_prio=  100, rt_priority=    0, state= 1026 (I), exit_state=0, exit_code=0, exit_signal=   17, utime=         0, stime=         0 flags: [WQ_WORKER FORKNOEXEC NOFREEZE KTHREAD NO_SETAFFINITY ]
[  260.415884] +pid=    9, comm=  kworker/u32:0, ppid=    2, parentcomm=       kthreadd, on_cpu=    0, policy=0, prio=  120, static_prio=  120, normal_prio=  120, rt_priority=    0, state= 1026 (I), exit_state=0, exit_code=0, exit_signal=   17, utime=         0, stime=  60000000 flags: [WQ_WORKER FORKNOEXEC NOFREEZE KTHREAD NO_SETAFFINITY ]
[  260.415902] +pid=   10, comm=   mm_percpu_wq, ppid=    2, parentcomm=       kthreadd, on_cpu=    0, policy=0, prio=  100, static_prio=  100, normal_prio=  100, rt_priority=    0, state= 1026 (I), exit_state=0, exit_code=0, exit_signal=   17, utime=         0, stime=         0 flags: [WQ_WORKER FORKNOEXEC NOFREEZE KTHREAD NO_SETAFFINITY ]
