[ 2578.496677] +pid=  179, comm=kworker/R-scsi_, ppid=    2, parentcomm=       kthreadd, on_cpu=    0, policy=0, prio=  100, state= 1026, exit_state=0, exit_code=0, exit_signal=   17, utime=         0, stime=         0 flags: [WQ_WORKER FORKNOEXEC NOFREEZE KTHREAD NO_SETAFFINITY ]
[ 2578.496692] +pid=  180, comm=     scsi_eh_21, ppid=    2, parentcomm=       kthreadd, on_cpu=    0, policy=0, prio=  120, state=    1, exit_state=0, exit_code=0, exit_signal=   17, utime=         0, stime=   1952759 flags: [FORKNOEXEC NOFREEZE KTHREAD ]
[ 2578.496704] +pid=  181, comm=kworker/R-scsi_, ppid=    2, parentcomm=       kthreadd, on_cpu=    0, policy=0, prio=  100, state= 1026, exit_state=0, exit_code=0, exit_signal=   17, utime=         0, stime=         0 flags: [WQ_WORKER FORKNOEXEC NOFREEZE KTHREAD NO_SETAFFINITY ]
[ 2578.496719] +pid=  182, comm=     scsi_eh_22, ppid=    2, parentcomm=       kthreadd, on_cpu=    0, policy=0, prio=  120, state=    1, exit_state=0, exit_code=0, exit_signal=   17, utime=         0, stime=         0 flags: [FORKNOEXEC NOFREEZE KTHREAD ]
[ 2578.496732] +pid=  183, comm=kworker/R-scsi_, ppid=    2, parentcomm=       kthreadd, on_cpu=    0, policy=0, prio=  100, state= 1026, exit_state=0, exit_code=0, exit_signal=   17, utime=         0, stime=         0 flags: [WQ_WORKER FORKNOEXEC NOFREEZE KTHREAD NO_SETAFFINITY ]
[ 2578.496747] +pid=  184, comm=     scsi_eh_23, ppid=    2, parentcomm=       kthreadd, on_cpu=    0, policy=0, prio=  120, state=    1, exit_state=0, exit_code=0, exit_signal=   17, utime=         0, stime=   1000000 flags: [FORKNOEXEC NOFREEZE KTHREAD ]
[ 2578.496759] +pid=  185, comm=kworker/R-scsi_, ppid=    2, parentcomm=       kthreadd, on_cpu=    0, policy=0, prio=  100, state= 1026, exit_state=0, exit_code=0, exit_signal=   17, utime=         0, stime=         0 flags: [WQ_WORKER FORKNOEXEC NOFREEZE KTHREAD NO_SETAFFINITY ]
[ 2578.496993] +pid=  186, comm=     scsi_eh_24, ppid=    2, parentcomm=       kthreadd, on_cpu=    0, policy=0, prio=  120, state=    1, exit_state=0, exit_code=0, exit_signal=   17, utime=         0, stime=    984971 flags: [FORKNOEXEC NOFREEZE KTHREAD ]
[ 2578.497011] +pid=  187, comm=kworker/R-scsi_, ppid=    2, parentcomm=       kthreadd, on_cpu=    0, policy=0, prio=  100, state= 1026, exit_state=0, exit_code=0, exit_signal=   17, utime=         0, stime=         0 flags: [WQ_WORKER FORKNOEXEC NOFREEZE KTHREAD NO_SETAFFINITY ]
[ 2578.497032] +pid=  188, comm=     scsi_eh_25, ppid=    2, parentcomm=       kthreadd, on_cpu=    0, policy=0, prio=  120, state=    1, exit_state=0, exit_code=0, exit_signal=   17, utime=         0, stime=   1946267 flags: [FORKNOEXEC NOFREEZE KTHREAD ]
[ 2578.497053] +pid=  189, comm=kworker/R-scsi_, ppid=    2, parentcomm=       kthreadd, on_cpu=    0, policy=0, prio=  100, state= 1026, exit_state=0, exit_code=0, exit_signal=   17, utime=         0, stime=         0 flags: [WQ_WORKER FORKNOEXEC NOFREEZE KTHREAD NO_SETAFFINITY ]
